Approved Symbol	Gene family description
ALDH2	Aldehyde dehydrogenases
ALDH3A1	Aldehyde dehydrogenases
ALDH3A2	Aldehyde dehydrogenases
ALDH3B1	Aldehyde dehydrogenases
ALDH3B2	Aldehyde dehydrogenases
ALDH4A1	Aldehyde dehydrogenases
ALDH5A1	Aldehyde dehydrogenases
ALDH6A1	Aldehyde dehydrogenases
ALDH7A1	Aldehyde dehydrogenases
ALDH8A1	Aldehyde dehydrogenases
ALDH9A1	Aldehyde dehydrogenases
AKR1A1	Aldo-keto reductases
AKR1B1	Aldo-keto reductases
AKR1B10	Aldo-keto reductases
AKR1B15	Aldo-keto reductases
AKR1C1	Aldo-keto reductases
AKR1C2	Aldo-keto reductases
AKR1C3	Aldo-keto reductases
AKR1C4	Aldo-keto reductases
AKR1D1	Aldo-keto reductases
AKR1E2	Aldo-keto reductases
AKR7A2	Aldo-keto reductases
AKR7A3	Aldo-keto reductases
KCNAB1	Aldo-keto reductases
KCNAB2	Aldo-keto reductases
KCNAB3	Aldo-keto reductases
ACER1	Alkaline ceramidases
ACER2	Alkaline ceramidases
ACER3	Alkaline ceramidases
ALPI	Alkaline phosphatases
ALPL	Alkaline phosphatases
ALPP	Alkaline phosphatases
ALPPL2	Alkaline phosphatases
ALKBH1	Alkylation repair homologs
ALKBH2	Alkylation repair homologs
ALKBH3	Alkylation repair homologs
ALKBH4	Alkylation repair homologs
ALKBH5	Alkylation repair homologs
ALKBH6	Alkylation repair homologs
ALKBH7	Alkylation repair homologs
ALKBH8	Alkylation repair homologs
FTO	Alkylation repair homologs
A4GALT	Alpha 1,4-glycosyltransferases
A4GNT	Alpha 1,4-glycosyltransferases
ARRDC1	Alpha arrestins
ARRDC2	Alpha arrestins
ARRDC3	Alpha arrestins
ARRDC4	Alpha arrestins
ARRDC5	Alpha arrestins
TXNIP	Alpha arrestins
ALG10	Alpha-1,2-glucosyltransferases
ALG10B	Alpha-1,2-glucosyltransferases
ALG6	Alpha-1,3-glucosyltransferases
ALG8	Alpha-1,3-glucosyltransferases
CARS	Aminoacyl tRNA synthetases, Class I
CARS2	Aminoacyl tRNA synthetases, Class I
EARS2	Aminoacyl tRNA synthetases, Class I
EPRS	Aminoacyl tRNA synthetases, Class I
IARS	Aminoacyl tRNA synthetases, Class I
IARS2	Aminoacyl tRNA synthetases, Class I
LARS	Aminoacyl tRNA synthetases, Class I
LARS2	Aminoacyl tRNA synthetases, Class I
MARS	Aminoacyl tRNA synthetases, Class I
MARS2	Aminoacyl tRNA synthetases, Class I
QARS	Aminoacyl tRNA synthetases, Class I
RARS	Aminoacyl tRNA synthetases, Class I
RARS2	Aminoacyl tRNA synthetases, Class I
VARS	Aminoacyl tRNA synthetases, Class I
VARS2	Aminoacyl tRNA synthetases, Class I
WARS	Aminoacyl tRNA synthetases, Class I
