accession_number	gene	all_gene_names
Q8TEU8	WFIKKN2	WFIKKN2
P98066	TNFAIP6	TNFAIP6
Q9BY14	TEX101	TEX101
Q8NEM7	SUPT20H	SUPT20H
Q14194	CRMP1	CRMP1
Q68DC2	ANKS6	ANKS6
Q14195	DPYSL3	DPYSL3
Q5H9U9	DDX60L	DDX60L
Q9BY15	ADGRE3	ADGRE3
Q8NEM8	AGBL3	AGBL3
Q14197	MRPL58	MRPL58
Q9BY19	MS4A8	MS4A8
P05538	HLA-DQB2	HLA-DQB2
P55771	PAX9	PAX9
P62310	LSM3	LSM3
Q567U6	CCDC93	CCDC93
Q3SY84	KRT71	KRT71
Q0P5N6	ARL16	ARL16
Q5VXT5	SYPL2	SYPL2
P62312	LSM6	LSM6
P55773	CCL23	CCL23
P23458	JAK1	JAK1
Q9NWZ3	IRAK4	IRAK4
P55774	CCL18	CCL18
P62314	SNRPD1	SNRPD1
Q9BWJ2	RHPN1-AS1	RHPN1-AS1
Q9NWZ5	UCKL1	UCKL1
Q8N3F0	MTURN	MTURN
P62316	SNRPD2	SNRPD2
Q3SY89	ELOA3B	ELOA3B
Q9BWJ5	SF3B5	SF3B5
P62318	SNRPD3	SNRPD3
Q9NWZ8	GEMIN8	GEMIN8
Q6NT46	GAGE2A	GAGE2A
Q9H6X2	ANTXR1	ANTXR1
Q9UG01	IFT172	IFT172
O95571	ETHE1	ETHE1
Q0VDI3	TMEM267	TMEM267
Q9H6X4	TMEM134	TMEM134
Q05469	LIPE	LIPE
Q6PKG0	LARP1	LARP1
O95573	ACSL3	ACSL3
Q9H6X5	C19orf44	C19orf44
A0A1B0GTW7	LMLN2	LMLN2
P09429	HMGB1	HMGB1
P00325	ADH1B	ADH1B
Q8N3F8	MICALL1	MICALL1
Q5XX13	FBXW10	FBXW10
P00326	ADH1C	ADH1C
Q8N3F9	GPR137C	GPR137C
P27348	YWHAQ	YWHAQ
P59665	DEFA1	DEFA1|DEFA1B
Q4VC31	CCDC58	CCDC58
P59666	DEFA3	DEFA3
Q8NB90	SPATA5	SPATA5
Q9UMY1	NOL7	NOL7
Q14651	PLS1	PLS1
Q8NB91	FANCB	FANCB
A6ND91	ASPDH	ASPDH
A6NLI5	TRIM64C	TRIM64C
P04211	IGLV7-43	IGLV7-43
Q9Y5U2	TSSC4	TSSC4
Q9UMY4	SNX12	SNX12
Q14653	IRF3	IRF3
Q96MC2	DRC1	DRC1
Q14654	KCNJ11	KCNJ11
Q53EQ6	TIGD5	TIGD5
Q1L6U9	MSMP	MSMP
Q9Y5U4	INSIG2	INSIG2
Q8TBA6	GOLGA5	GOLGA5
Q96MC4	CEP295NL	CEP295NL
Q9Y5U5	TNFRSF18	TNFRSF18
Q14656	TMEM187	TMEM187
P18615	NELFE	NELFE
Q4VC39	HIGD2B	HIGD2B
P29992	GNA11	GNA11
Q96MC5	BMERB1	BMERB1
P04216	THY1	THY1
Q96MC6	MFSD14A	MFSD14A
Q14657	LAGE3	LAGE3
P04217	A1BG	A1BG
Q96E35	ZMYND19	ZMYND19
Q9Y5U8	MPC1	MPC1
A8MSI8	LYRM9	LYRM9
Q9Y5U9	IER3IP1	IER3IP1
Q96MC9	C1orf147	C1orf147
P36537	UGT2B10	UGT2B10
Q5JU00	TCTE1	TCTE1
Q96E39	RBMXL1	RBMXL1
P23919	DTYMK	DTYMK
F8VTS6	RFPL4AL1	RFPL4AL1
Q05923	DUSP2	DUSP2
Q8WXT5	FOXD4L4	FOXD4L4
Q76KP1	B4GALNT4	B4GALNT4
Q05925	EN1	EN1
Q2VIQ3	KIF4B	KIF4B
P0C841	FAM66E	FAM66E
P26022	PTX3	PTX3
P0C842	LINC00614	LINC00614
P19484	TFEB	TFEB
