Approved Symbol	Previous Symbols	Synonyms
AHRR	AHH, AHHR	KIAA1234, bHLHe77
AHSA1	C14orf3	p38, Aha1, hAha1
AHSA2		DKFZp564C236, Hch1, AHA1
AHSG		FETUA, A2HS, HSGA
AHSP	ERAF	EDRF
AIC		
AICDA		HIGM2, CDA2, ARP2, AID
AIDA	C1orf80	FLJ12806
AIED~withdrawn		
AIF1		IRT-1, AIF-1, Em:AF129756.17, IBA1
AIF1L	C9orf58	IBA2, FLJ12783
AIFM1	PDCD8, NAMSD	AIF, CMTX4
AIFM1P1		
AIFM2	AMID	FLJ14497, PRG3
AIFM3		AIFL, FLJ30473
AIG1		dJ95L4.1, AIG-1, FLJ10485
AIG1P1		
AIH1~withdrawn		
AIH2~withdrawn		
AIH3		
AIM1	ST4	CRYBG1
AIM1L		CRYBG2, FLJ38020
AIM2		PYHIN4
AIMP1	SCYE1	EMAPII, EMAP-2, p43
AIMP1P1	SCYE1P	bA400P21.1
AIMP1P2		
AIMP2		p38, PRO0992, JTV-1, JTV1
AIP		XAP2, ARA9, FKBP16
AIPL1	LCA4	
AIRE	APECED	PGA1, APS1
AIRN		AIR, NCRNA00088, IGF2RAS, IGF2R-AS1
AIS1		
AIS2		
AIS3		
AJAP1		SHREW1, SHREW-1, MOT8
AJUBA	JUB	MGC15563
AK1		
AK2		
AK2P1		AK2B
AK2P2		
AK3	AK6, AK3L1	AKL3L1
AK3P2		HsT26053
AK3P3		
AK3P4		
AK3P5		
AK3P6		
AK4	AK3, AK3L1	
AK4P1	AK3P1	
AK4P2		
AK4P3	AK3L2	AK3L2P
AK4P4		
AK4P5		
AK4P6		
AK5		
AK6		CINAP
AK6P1		
AK6P2		
AK6~withdrawn		
AK7		FLJ32864
AK8	C9orf98	FLJ32704
AK9	C6orf224, AKD2, C6orf199, AKD1	FLJ42177, FLJ25791, dJ70A9.1, MGC26954
AKAIN1	C18orf42	
AKAP1	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17
AKAP2	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716, MISP2
AKAP3		FSP95, SOB1, AKAP110, CT82
