Approved Symbol	Previous Symbols	Synonyms
RNA5SP331	RN5S331	
RNA5SP332	RN5S332	
RNA5SP333	RN5S333	
RNA5SP334	RN5S334	
RNA5SP335	RN5S335	
RNA5SP336	RN5S336	
RNA5SP337	RN5S337	
RNA5SP338	RN5S338	
RNA5SP339	RN5S339	
RNA5SP340	RN5S340	
RNA5SP341	RN5S341	
RNA5SP342	RN5S342	
RNA5SP343	RN5S343	
RNA5SP344	RN5S344	
RNA5SP345	RN5S345	
RNA5SP346	RN5S346	
RNA5SP347	RN5S347	
RNA5SP348	RN5S348	
RNA5SP349	RN5S349	
RNA5SP350	RN5S350	
RNA5SP351	RN5S351	
RNA5SP352	RN5S352	
RNA5SP353	RN5S353	
RNA5SP354	RN5S354	
RNA5SP355	RN5S355	
RNA5SP356	RN5S356	
RNA5SP357	RN5S357	
RNA5SP358	RN5S358	
RNA5SP359	RN5S359	
RNA5SP360	RN5S360	
RNA5SP361	RN5S361	
RNA5SP362	RN5S362	
RNA5SP363	RN5S363	
RNA5SP364	RN5S364	
RNA5SP365	RN5S365	
RNA5SP366	RN5S366	
RNA5SP367	RN5S367	
RNA5SP368	RN5S368	
RNA5SP369	RN5S369	
RNA5SP370	RN5S370	
RNA5SP371	RN5S371	
RNA5SP372	RN5S372	
RNA5SP373	RN5S373	
RNA5SP374	RN5S374	
RNA5SP375	RN5S375	
RNA5SP376	RN5S376	
RNA5SP377	RN5S377	
RNA5SP378	RN5S378	
RNA5SP379	RN5S379	
RNA5SP380	RN5S380	
RNA5SP381~withdrawn		
RNA5SP382	RN5S382	
RNA5SP383	RN5S383	
RNA5SP384	RN5S384	
RNA5SP385	RN5S385	
RNA5SP386	RN5S386	
RNA5SP387	RN5S387	
RNA5SP388	RN5S388	
RNA5SP389	RN5S389	
RNA5SP390	RN5S390	
RNA5SP391	RN5S391	
RNA5SP392	RN5S392	
RNA5SP393	RN5S393	
RNA5SP394	RN5S394	
RNA5SP395	RN5S395	
RNA5SP396	RN5S396	
RNA5SP397	RN5S397	
RNA5SP398~withdrawn		
RNA5SP399	RN5S399	
RNA5SP400	RN5S400	
RNA5SP401	RN5S401	
RNA5SP402	RN5S402	
RNA5SP403	RN5S403	
RNA5SP404	RN5S404	
RNA5SP405	RN5S405	
RNA5SP406	RN5S406	
RNA5SP407	RN5S407	
RNA5SP408	RN5S408	
RNA5SP409	RN5S409	
RNA5SP410	RN5S410	
RNA5SP411	RN5S411	
RNA5SP412	RN5S412	
RNA5SP413	RN5S413	
RNA5SP414	RN5S414	
RNA5SP415	RN5S415	
RNA5SP416	RN5S416	
RNA5SP417	RN5S417	
RNA5SP418	RN5S418	
RNA5SP419	RN5S419	
RNA5SP420	RN5S420	
RNA5SP421	RN5S421	
RNA5SP422	RN5S422	
RNA5SP423	RN5S423	
RNA5SP424	RN5S424	
RNA5SP425	RN5S425	
RNA5SP426	RN5S426	
RNA5SP427	RN5S427	
RNA5SP428	RN5S428	
RNA5SP429	RN5S429	
RNA5SP430	RN5S430	
RNA5SP431	RN5S431	
RNA5SP432	RN5S432	
RNA5SP433	RN5S433	
RNA5SP434	RN5S434	
RNA5SP435	RN5S435	
RNA5SP436	RN5S436	
RNA5SP437	RN5S437	
RNA5SP438	RN5S438	
RNA5SP439	RN5S439	
RNA5SP440	RN5S440	
RNA5SP441	RN5S441	
RNA5SP442	RN5S442	
RNA5SP443	RN5S443	
RNA5SP444	RN5S444	
RNA5SP445	RN5S445	
RNA5SP446	RN5S446	
RNA5SP447	RN5S447	
RNA5SP448	RN5S448	
RNA5SP449	RN5S449	
RNA5SP450	RN5S450	
RNA5SP451	RN5S451	
RNA5SP452	RN5S452	
RNA5SP453	RN5S453	
RNA5SP454	RN5S454	
RNA5SP455	RN5S455	
RNA5SP456	RN5S456	
RNA5SP457	RN5S457	
RNA5SP458	RN5S458	
RNA5SP459	RN5S459	
RNA5SP460	RN5S460	
RNA5SP461	RN5S461	
RNA5SP462	RN5S462	
RNA5SP463	RN5S463	
RNA5SP464	RN5S464	
RNA5SP465	RN5S465	
RNA5SP466	RN5S466	
RNA5SP467	RN5S467	
RNA5SP468	RN5S468	
RNA5SP469	RN5S469	
RNA5SP470	RN5S470	
RNA5SP471	RN5S471	
RNA5SP472	RN5S472	
RNA5SP473	RN5S473	
RNA5SP474	RN5S474	
RNA5SP475	RN5S475	
RNA5SP476	RN5S476	
RNA5SP477	RN5S477	
RNA5SP478	RN5S478	
RNA5SP479	RN5S479	
RNA5SP480	RN5S480	
RNA5SP481	RN5S481	
RNA5SP482	RN5S482	
RNA5SP483	RN5S483	
RNA5SP484	RN5S484	
RNA5SP485	RN5S485	
RNA5SP486	RN5S486	
RNA5SP487	RN5S487	
RNA5SP488	RN5S488	
RNA5SP489	RN5S489	
RNA5SP490	RN5S490	
RNA5SP491	RN5S491	
RNA5SP492	RN5S492	
RNA5SP493	RN5S493	
RNA5SP494	RN5S494	
RNA5SP495	RN5S495	
RNA5SP496	RN5S496	
RNA5SP497	RN5S497	
RNA5SP498	RN5S498	
RNA5SP499	RN5S499	
RNA5SP500	RN5S500	
RNA5SP501	RN5S501	
RNA5SP502	RN5S502	
RNA5SP503	RN5S503	
RNA5SP504	RN5S504	
RNA5SP505	RN5S505	
RNA5SP506	RN5S506	
RNA5SP507	RN5S507	
RNA5SP508	RN5S508	
RNA5SP509	RN5S509	
RNA5SP510	RN5S510	
RNA5SP511	RN5S511	
RNA5SP512	RN5S512	
RNA5SP513	RN5S513	
RNA5SP514	RN5S514	
RNA5SP515	RN5S515	
RNA5SP516	RN5S516	
RNA5SP517	RN5S517	
RNA5SP518	RN5S518	
RNA5SP519	RN5S519	
RNA5SP520	RN5S520	
RNA5SP521	RN5S521	
RNA5SP522	RN5S522	
RNA5SP523	RN5S523	
RNA18S1		
RNA18S2		
RNA18S3		
RNA18S4		
RNA18S5	RN18S1	
RNA18SP2	RN18S2P	
RNA28S1		
RNA28S2		
RNA28S3		
RNA28S4		
RNA28S5	RN28S1	
RNA45S1		
RNA45S2		
RNA45S3		
RNA45S4		
RNA45S5		
RNASE1	RNS1	RAC1
RNASE2	RNS2	EDN, RAF3
RNASE3	RNS3	ECP, RAF1
RNASE4		RAB1
RNASE6	RNS6	RAD1, RNaseK6
RNASE7		RAE1
RNASE8		RAE2
RNASE9		h461, RAK1
RNASE10		RNASE9, RAH1
RNASE11	C14orf6	RAJ1
RNASE12		RAI1
RNASE13		RAL1
RNASEH1		
RNASEH1-AS1		LOC100506054
RNASEH1P1	RNASEH1	RNH1
RNASEH1P2		
RNASEH1P3		
RNASEH2A		RNASEHI, RNHIA, RNHL, AGS4
RNASEH2B	DLEU8, AGS2	FLJ11712
RNASEH2B-AS1		
RNASEH2C		AYP1, AGS3
RNASEH2CP1		AYP1p1
RNASEK		MGC71993
RNASEK-C17orf49		
RNASEL	RNS4, PRCA1	
RNASEL1~withdrawn		
RNASET2		RNASE6PL, FLJ10907, bA514O12.3
RND1		Rho6, ARHS, RHOS
RND2	ARHN	Rho7, RhoN
RND3	ARHE	RhoE, Rho8
RNE1~withdrawn		
RNE2~withdrawn		
RNE3~withdrawn		
RNF2		BAP-1, BAP1, DING, HIPI3, RING1B, RING2
RNF2P1	RNF2P	
RNF4		RES4-26, SNURF, SLX5
RNF5		NG2, G16, RING5, RMA1
RNF5P1		
RNF6		DKFZp686P0776
RNF6P1		
RNF7		SAG, ROC2, CKBBP1
RNF7P1		
RNF8		KIAA0646
RNF10		KIAA0262, RIE2
RNF10P1		
RNF11		CGI-123, Sid1669p, MGC51169
RNF11P1		
RNF11P2	RNF11B	bA280O9.1
RNF13		RZF
RNF14		ARA54, HFB30, TRIAD2
RNF17	TDRD4	Mmip-2, SPATA23, FLJ11045
RNF19A	RNF19	dorfin, DKFZp566B1346
RNF19B	IBRDC3	FLJ90005
RNF19BPX		RNF19BX
RNF19BPY		
RNF20		FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1
RNF24		G1L
RNF25		AO7, FLJ13906
RNF26		MGC2642
RNF31		ZIBRA, FLJ10111, FLJ23501, HOIP, Paul
RNF32		FKSG33, HSD15, LMBR2
RNF33~withdrawn		
RNF34		RIFF, FLJ21786, RIF
RNF35~withdrawn		
RNF38		
RNF39		HZFw1, LIRF
RNF40		KIAA0661, RBP95, BRE1B, STARING
RNF41		SBBI03, NRDP1
RNF43		FLJ20315, DKFZp781H0392, URCC
RNF44		KIAA1100
RNF103	ZFP103	hkf-1, KF1
RNF103-CHMP3	RNF103-VPS24	
RNF111		ARK, Arkadia, FLJ38008, DKFZP761D081
RNF112	ZNF179	BFP
RNF113A	ZNF183	RNF113, Cwc24
RNF113B	ZNF183L1	RNF161
RNF114	ZNF313	PSORS12
RNF115	ZNF364	CL469780
RNF121		FLJ11099
RNF122		FLJ12526
RNF123		FLJ12565, KPC1
RNF125		FLJ20456
RNF126		FLJ20552
RNF126P1		
RNF128		FLJ23516, GRAIL
RNF130		GP, G1RZFP, GOLIATH
RNF133		
RNF135		MGC13061
RNF138		STRIN, NARF
RNF138P1		
RNF138P2		
RNF139		TRC8, RCA1, HRCA1
RNF139-AS1		
RNF141		ZFP26, ZNF230
RNF144A	RNF144	UBCE7IP4, KIAA0161, hUIP4
RNF144A-AS1		
RNF144B	IBRDC2	bA528A10.3, P53RFP
RNF145		FLJ31951
RNF146		DKFZp434O1427, dactylidin, dJ351K20.1
RNF148		MGC35222
RNF149		FLJ90504
RNF150		KIAA1214
RNF151		
RNF152		FLJ39176
RNF152P1		
RNF157		KIAA1917
RNF157-AS1		
RNF165		ARKL2, RNF111L2
RNF165-IT1~withdrawn		
RNF166		MGC2647, MGC14381
RNF167		DKFZP566H073
RNF168		FLJ35794
RNF169		KIAA1991
RNF170	SNAX1	DKFZP564A022, ADSA
RNF175		FLJ34190
RNF180		
RNF181		HSPC238
RNF182		MGC33993
RNF183		MGC4734
RNF185		FLJ38628
RNF185-AS1		
RNF186		FLJ20225
RNF187		
RNF207	C1orf188	FLJ46380, FLJ32096
RNF208		DKFZP761H1710
RNF212	LOC285498	FLJ38841
RNF212B	C14orf164	
RNF213	C17orf27, KIAA1618, MYMY2	KIAA1554, NET57
RNF214		DKFZp547C195
RNF215		
RNF216		TRIAD3, UBCE7IP1, ZIN
RNF216-IT1		
RNF216P1	RNF216L	
RNF217	C6orf172, IBRDC1	MGC26996, dJ84N20.1
RNF217-AS1		STL
RNF219	C13orf7	FLJ13449
RNF219-AS1	POU4F1-AS1	
RNF220	C1orf164	FLJ10597
RNF222		
RNF223		
RNF224		
RNF225		
RNFT1		PTD016
RNFT1P1		
RNFT1P2		
RNFT1P3		
RNFT2	TMEM118	FLJ14627
RNGTT		HCE, HCE1, hCAP
RNGTTP1		
RNH1	RNH	RAI
RNLS	C10orf59	FLJ11218, renalase
RNMT		RG7MT1
RNMTL1P1		
RNMTL1P2		
RNNL~withdrawn		
RNN~withdrawn		
RNPC3		KIAA1839, FLJ20008, RBM40, SNRNP65
RNPC3P1		
RNPEP		
RNPEPL1		
RNPS1		
RNPS1P1		
RNPU1Z~withdrawn		
RNR1		
RNR2		
RNR3		
RNR4		
RNR5		
RNRP1~withdrawn		
RNRP2~withdrawn		
RNS1~withdrawn		
RNS2~withdrawn		
RNS3~withdrawn		
RNS4I~withdrawn		
RNS4~withdrawn		
RNS6~withdrawn		
RNU1-1	RNU1, RNU1G4, RNU1A3, RNU1A	Rnu1a1, U1, HU1-1, U1A1, HSD1
RNU1-2	RNU1C1, RNU1C2	U1C1, U1C21
RNU1-3	RNU1G3	HSD4
RNU1-4	RNU1E2, RNU1G2, RNU1D2, RNU1F1, RNU1G1	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7
RNU1-5P	RNU1-5	
RNU1-6P	RNU1-6	
RNU1-7P	RNU1-7	
RNU1-8P	RNU1-8	
RNU1-11P	RNU1P5	U1P1A, RNU1P1
RNU1-13P	RNU1P6	U1P1, U1.1
RNU1-14P	RNU1P7	U1P17
RNU1-15P	RNU1P8	U1P11
RNU1-16P		U1.64
RNU1-17P		
RNU1-18P		
RNU1-19P		
RNU1-20P		
RNU1-21P		
RNU1-22P		
RNU1-23P		
RNU1-24P		U1.41
RNU1-27P	RNU1-7P	
RNU1-28P	RNU1-8, RNU1-8P	
RNU1-29P		
RNU1-30P		
RNU1-31P		
RNU1-32P		
RNU1-33P		
RNU1-34P		
RNU1-35P		
RNU1-36P		
RNU1-38P		
RNU1-39P		
RNU1-40P		
RNU1-41P		
RNU1-42P		
RNU1-43P		
RNU1-44P		
RNU1-45P		
RNU1-46P		
RNU1-47P		
RNU1-48P		
RNU1-49P		
RNU1-51P		
RNU1-52P		
RNU1-54P		
RNU1-55P		
RNU1-56P		
RNU1-57P		
RNU1-58P		
RNU1-59P		
RNU1-60P~withdrawn		
RNU1-61P		
RNU1-62P		
RNU1-63P		
RNU1-64P		
RNU1-65P		
RNU1-67P		
RNU1-68P		
RNU1-69P~withdrawn		
RNU1-70P		
RNU1-72P		
RNU1-73P		
RNU1-74P		
RNU1-75P		
RNU1-76P		
RNU1-77P		
RNU1-78P		
RNU1-79P		
RNU1-80P		
RNU1-82P		
RNU1-83P		
RNU1-84P		
RNU1-85P		
RNU1-86P		
RNU1-87P		
RNU1-88P		
RNU1-89P		
RNU1-91P		
RNU1-92P		
RNU1-93P		
RNU1-94P		
RNU1-95P		
RNU1-96P		
RNU1-97P		
RNU1-98P		
RNU1-100P		
RNU1-101P		
RNU1-103P		
RNU1-104P		
RNU1-105P		
RNU1-106P		
RNU1-107P		
RNU1-108P		
RNU1-109P		
RNU1-112P		
RNU1-114P		
RNU1-115P		
RNU1-116P		
RNU1-117P		
RNU1-119P		
RNU1-120P		
RNU1-122P		
RNU1-123P		
RNU1-124P		
RNU1-125P		
RNU1-128P		
RNU1-129P	RNU1-137P	
RNU1-130P		
RNU1-131P		
RNU1-132P		
RNU1-133P		
RNU1-134P		
RNU1-135P~withdrawn		
RNU1-136P		
RNU1-137P~withdrawn		
RNU1-138P		
RNU1-139P		
RNU1-140P		
RNU1-141P		
RNU1-142P		
RNU1-143P		
RNU1-146P		
RNU1-148P		
RNU1-149P		
RNU1-150P		
RNU1A3~withdrawn		
RNU1C2~withdrawn		
RNU1D2~withdrawn		
RNU1E2~withdrawn		
RNU1F1~withdrawn		
RNU1G2~withdrawn		
RNU1G4~withdrawn		
RNU1P1~withdrawn		
RNU1P3~withdrawn		
RNU1P4~withdrawn		
RNU1P9~withdrawn		
RNU1~withdrawn		
RNU2-1		U2
RNU2-2P	RNU2B, RNU2-2	U2
RNU2-3P	RNU2P1	U2
RNU2-4P	RNU2P2	U2, U2/7
RNU2-5P	RNU2P3	U2, u2.7
RNU2-6P		
RNU2-7P		
RNU2-8P		
RNU2-9P		
RNU2-10P		
RNU2-11P		
RNU2-12P		
RNU2-13P		
RNU2-14P		
RNU2-15P		
RNU2-16P		
RNU2-17P		
RNU2-18P		
RNU2-19P		
RNU2-20P		
RNU2-21P		
RNU2-22P		
RNU2-23P		
RNU2-24P		
RNU2-25P		
RNU2-26P		
RNU2-27P		
RNU2-28P		
RNU2-29P		
RNU2-30P		
RNU2-31P		
RNU2-32P		
RNU2-33P		
RNU2-34P		
RNU2-35P		
RNU2-36P		
RNU2-37P		
RNU2-38P		
RNU2-39P		
RNU2-40P		
RNU2-41P		
RNU2-42P		
RNU2-43P		
RNU2-44P		
RNU2-45P		
RNU2-46P		
RNU2-47P		
RNU2-48P		
RNU2-49P		
RNU2-50P		
RNU2-51P		
RNU2-52P		
RNU2-53P		
RNU2-54P		
RNU2-55P		
RNU2-56P		
RNU2-57P		
RNU2-58P		
RNU2-59P		
RNU2-60P		
RNU2-61P		
RNU2-62P		
RNU2-63P		
RNU2-64P		
RNU2-65P		
RNU2-66P		
RNU2-67P~withdrawn		
RNU2-68P		
RNU2-69P		
RNU2-70P		
RNU2-71P		
RNU2-72P		
RNU3A2~withdrawn		
RNU3A3~withdrawn		
RNU3B1~withdrawn		
RNU3B2~withdrawn		
RNU3B3~withdrawn		
RNU3B4~withdrawn		
RNU3~withdrawn		
RNU4-1	RNU4B2, RNU4A	U4BL, U4
RNU4-1B~withdrawn		
RNU4-2	RNU4C, RNU4-1B, RNU4B1	U4c, U4b, U4A
RNU4-3P	RNU4P3	U4, U4/4
RNU4-4P	RNU4P4	U4, U4/5
RNU4-5P	RNU4P5	U4, U4/6
RNU4-6P	RNU4P6	U4, U4/8
RNU4-7P	RNU4P1	U4, U4/7
RNU4-8P	RNU4P2	U4, U4/14
RNU4-9P		
RNU4-10P		
RNU4-11P		
RNU4-12P		
RNU4-13P		
RNU4-14P		
RNU4-15P		
RNU4-16P		
RNU4-17P		
RNU4-18P		
RNU4-19P~withdrawn		
RNU4-20P		
RNU4-21P		
RNU4-22P		
RNU4-23P		
RNU4-24P		
RNU4-25P		
RNU4-26P		
RNU4-27P		
RNU4-28P		
RNU4-29P		
RNU4-30P		
RNU4-31P		
RNU4-32P		
RNU4-33P		
RNU4-34P		
RNU4-35P		
RNU4-36P		
RNU4-37P		
RNU4-38P		
RNU4-39P		
RNU4-40P		
RNU4-41P		
RNU4-42P		
RNU4-43P		
RNU4-44P		
RNU4-45P		
RNU4-46P		
RNU4-47P		
RNU4-48P		
RNU4-49P		
RNU4-50P		
RNU4-51P		
RNU4-52P		
RNU4-53P		
RNU4-54P		
RNU4-55P		
RNU4-56P		
RNU4-57P		
RNU4-58P		
RNU4-59P		
RNU4-60P		
RNU4-61P		
RNU4-62P		
RNU4-63P		
RNU4-64P		
RNU4-65P		
RNU4-66P		
RNU4-67P		
RNU4-68P		
RNU4-69P		
RNU4-70P		
RNU4-71P		
RNU4-72P		
RNU4-73P		
RNU4-74P		
RNU4-75P		
RNU4-76P		
RNU4-77P		
RNU4-78P		
RNU4-79P		
RNU4-80P		
RNU4-81P		
RNU4-82P		
RNU4-83P		
RNU4-84P		
RNU4-85P		
RNU4-86P		
RNU4-87P		
RNU4-88P		
RNU4-89P		
RNU4-90P		
RNU4-91P		
RNU4-92P		
RNU4ATAC		RNU4ATAC1
RNU4ATAC2P		
RNU4ATAC3P		
RNU4ATAC4P		
RNU4ATAC5P		
RNU4ATAC6P		
RNU4ATAC7P		
RNU4ATAC8P		
RNU4ATAC9P		
RNU4ATAC10P		
RNU4ATAC11P		
RNU4ATAC12P		
RNU4ATAC13P		
RNU4ATAC14P		
RNU4ATAC15P		
RNU4ATAC16P		
RNU4ATAC17P		
RNU4ATAC18P		
RNU4A~withdrawn		
RNU5A-1	RNU5C, RNU5A	U5A, U5B1
RNU5A-2P		
RNU5A-3P		
RNU5A-4P		
RNU5A-5P		
RNU5A-6P		
RNU5A-7P		
RNU5A-8P		
RNU5B-1	RNU5B	U5B1
RNU5B-2P		
RNU5B-3P		
RNU5B-4P		
RNU5B-5P		
RNU5B-6P		
RNU5C~withdrawn		
RNU5D-1	RNU5D	U5DS, U5DL
RNU5D-2P		
RNU5E-1	RNU5E	U5E
RNU5E-2P		
RNU5E-3P		
RNU5E-4P		
RNU5E-5P		
RNU5E-6P		
RNU5E-7P		
RNU5E-8P		
RNU5E-9P		
RNU5E-10P		
RNU5F-1	RNU5F	
RNU5F-2P		
RNU5F-3P		
RNU5F-4P		
RNU5F-5P		
RNU5F-6P		
RNU5F-7P		
RNU5F-8P		
RNU6-1	RNU6A	U6, U6-1
RNU6-2		U6-2
RNU6-3P	RNU6-3	U6-3
RNU6-4P	RNU6-4	U6-4
RNU6-5P	RNU6-5	U6-5
RNU6-6P	RNU6B, RNU6-6	U6-6
RNU6-7		U6-7
RNU6-8		U6-8
RNU6-9		U6-9
RNU6-10P	RNU6-10	
RNU6-11P	RNU6-11	
RNU6-12P	RNU6-12	
RNU6-13P	RNU6-13	
RNU6-14P	RNU6-14	
RNU6-15P	RNU6-15	
RNU6-16P	RNU6-16	
RNU6-17P	RNU6-17	
RNU6-18P	RNU6-18	
RNU6-19P	RNU6-19	
RNU6-20P	RNU6-20	
RNU6-21P	RNU6-21	
RNU6-22P	RNU6-22	
RNU6-23P	RNU6-23	
RNU6-24P	RNU6-24	
RNU6-25P	RNU6-25	
RNU6-26P	RNU6-26	
RNU6-27P	RNU6-27	
RNU6-28P	RNU6-28	
RNU6-29P	RNU6-29	
RNU6-30P	RNU6-30	
RNU6-31P	RNU6-31	
RNU6-32P	RNU6-32	
RNU6-33P	RNU6-33	
RNU6-34P	RNU6-34	
RNU6-35P	RNU6-35	
RNU6-36P	RNU6-36	
RNU6-37P	RNU6-37	
RNU6-38P	RNU6-38	
RNU6-39P	RNU6-39	
RNU6-40P	RNU6-40	
RNU6-41P	RNU6-41	
RNU6-42P	RNU6-42	
RNU6-43P	RNU6-43	
RNU6-44P	RNU6-44	
RNU6-45P	RNU6-45	
RNU6-46P	RNU6-46	
RNU6-47P	RNU6-47	
RNU6-48P	RNU6-48	
RNU6-49P	RNU6-49	
RNU6-50P	RNU6P1, RNU6-50	U6
RNU6-51P~withdrawn		
RNU6-52P	RNU6-52	
RNU6-53P	RNU6-53	
RNU6-54P	RNU6-54	
RNU6-55P	RNU6-55	
RNU6-56P	RNU6-56	
RNU6-57P	RNU6-57	
RNU6-58P	RNU6-58	
RNU6-59P	RNU6-59	
RNU6-60P	RNU6-60	
RNU6-61P	RNU6-61	
RNU6-62P	RNU6-62	
RNU6-63P	RNU6-63	
RNU6-64P	RNU6-64	
RNU6-65P	RNU6-65	
RNU6-66P	RNU6-66	
RNU6-67P	RNU6-67	
RNU6-68P	RNU6-68	
RNU6-69P	RNU6-69	
RNU6-70P	RNU6-70	
RNU6-71P	RNU6-71	
RNU6-72P	RNU6-72	
RNU6-73P	RNU6-73	
RNU6-74P	RNU6-74	
RNU6-75P	RNU6-75	
RNU6-76P	RNU6-76, RNU6-1002P	
RNU6-77P	RNU6-77	
RNU6-78P	RNU6-78	
RNU6-79P	RNU6-79	
RNU6-80P	RNU6-80	
RNU6-81P	RNU6-81	
RNU6-82P	RNU6-82	
RNU6-83P	RNU6-83	
RNU6-84P		
RNU6-85P		
RNU6-86P		
RNU6-87P		
RNU6-88P		
RNU6-89P		
RNU6-90P		
RNU6-91P		
RNU6-92P		
RNU6-93P~withdrawn		
RNU6-94P		
RNU6-95P		
RNU6-96P~withdrawn		
RNU6-97P		
RNU6-98P		
RNU6-99P		
RNU6-100P		
RNU6-101P		
RNU6-102P		
RNU6-103P		
RNU6-104P		
RNU6-105P		
RNU6-106P		
RNU6-107P		
RNU6-108P		
RNU6-109P		
RNU6-110P		
RNU6-111P		
RNU6-112P		
RNU6-113P		
RNU6-114P		
RNU6-115P		
RNU6-116P		
RNU6-117P		
RNU6-118P		
RNU6-119P		
RNU6-120P		
RNU6-121P		
RNU6-122P		
RNU6-123P		
RNU6-124P~withdrawn		
RNU6-125P		
RNU6-126P		
RNU6-127P		
RNU6-128P		
RNU6-129P		
RNU6-130P		
RNU6-131P		
RNU6-132P		
RNU6-133P		
RNU6-134P~withdrawn		
RNU6-135P		
RNU6-136P		
RNU6-137P		
RNU6-138P		
RNU6-139P		
RNU6-140P		
RNU6-141P		
RNU6-142P		
RNU6-143P		
RNU6-144P		
RNU6-145P		
RNU6-146P		
RNU6-147P		
RNU6-148P		
RNU6-149P~withdrawn		
RNU6-150P		
RNU6-151P		
RNU6-152P		
RNU6-153P		
RNU6-154P		
RNU6-155P		
RNU6-156P		
RNU6-157P		
RNU6-158P		
RNU6-159P		
RNU6-160P		
RNU6-161P		
RNU6-162P		
RNU6-163P		
RNU6-164P		
RNU6-165P		
RNU6-166P		
RNU6-167P		
RNU6-168P		
RNU6-169P		
RNU6-170P		
RNU6-171P		
RNU6-172P		
RNU6-173P		
RNU6-174P		
RNU6-175P		
RNU6-176P		
RNU6-177P		
RNU6-178P		
RNU6-179P		
RNU6-180P		
RNU6-181P		
RNU6-182P		
RNU6-183P		
RNU6-184P		
RNU6-185P		
RNU6-186P~withdrawn		
RNU6-187P		
RNU6-188P		
RNU6-189P		
RNU6-190P		
RNU6-191P		
RNU6-192P		
RNU6-193P		
RNU6-194P		
RNU6-195P		
RNU6-196P		
RNU6-197P		
RNU6-198P		
RNU6-199P		
RNU6-200P		
RNU6-201P		
RNU6-202P		
RNU6-203P		
RNU6-204P		
RNU6-205P		
RNU6-206P		
RNU6-207P		
RNU6-208P		
RNU6-209P		
RNU6-210P		
RNU6-211P		
RNU6-212P		
RNU6-213P	RNU6-1033P	
RNU6-214P		
RNU6-215P		
RNU6-216P		
RNU6-217P		
RNU6-218P		
RNU6-219P		
RNU6-220P		
RNU6-221P		
RNU6-222P		
RNU6-223P		
RNU6-224P		
RNU6-225P		
RNU6-226P		
RNU6-227P		
RNU6-228P		
RNU6-229P		
RNU6-230P		
RNU6-231P		
RNU6-232P		
RNU6-233P		
RNU6-234P		
RNU6-235P		
RNU6-236P		
RNU6-237P		
RNU6-238P		
RNU6-239P		
RNU6-240P		
RNU6-241P		
RNU6-242P		
RNU6-243P		
RNU6-244P		
RNU6-245P		
RNU6-246P		
RNU6-247P		
RNU6-248P		
RNU6-249P		
RNU6-250P		
RNU6-251P		
RNU6-252P		
RNU6-253P		
RNU6-254P		
RNU6-255P		
RNU6-256P		
RNU6-257P		
RNU6-258P		
RNU6-259P		
RNU6-260P		
RNU6-261P		
RNU6-262P		
RNU6-263P		
RNU6-264P		
RNU6-265P~withdrawn		
RNU6-266P		
RNU6-267P		
RNU6-268P		
RNU6-269P		
RNU6-270P		
RNU6-271P		
RNU6-272P		
RNU6-273P		
RNU6-274P		
RNU6-275P		
RNU6-276P		
RNU6-277P		
RNU6-278P		
RNU6-279P		
RNU6-280P	RNU6-1221P	
RNU6-281P		
RNU6-282P		
RNU6-283P	RNU6-683P	
RNU6-284P		
RNU6-285P		
RNU6-286P		
RNU6-287P		
RNU6-288P		
RNU6-289P		
RNU6-290P		
RNU6-291P		
RNU6-292P~withdrawn		
RNU6-293P		
RNU6-294P		
RNU6-295P		
RNU6-296P		
RNU6-297P		
RNU6-298P		
RNU6-299P		
RNU6-300P		
RNU6-301P		
RNU6-302P		
RNU6-303P		
RNU6-304P		
RNU6-305P~withdrawn		
RNU6-306P		
RNU6-307P		
RNU6-308P		
RNU6-309P		
RNU6-310P		
RNU6-311P		
RNU6-312P		
RNU6-313P		
RNU6-314P		
RNU6-315P		
RNU6-316P		
RNU6-317P		
RNU6-318P	RNU6-1295P	
RNU6-319P		
RNU6-320P		
RNU6-321P		
RNU6-322P		
RNU6-323P		
RNU6-324P		
RNU6-325P		
RNU6-326P		
RNU6-327P		
RNU6-328P		
RNU6-329P		
RNU6-330P		
RNU6-331P		
RNU6-332P		
RNU6-333P		
RNU6-334P		
RNU6-335P		
RNU6-336P		
RNU6-337P		
RNU6-338P		
RNU6-339P		
RNU6-340P		
RNU6-341P		
RNU6-342P		
RNU6-343P		
RNU6-344P		
RNU6-345P		
RNU6-346P		
RNU6-347P		
RNU6-348P		
RNU6-349P		
RNU6-350P~withdrawn		
RNU6-351P		
RNU6-352P		
RNU6-353P		
RNU6-354P		
RNU6-355P		
RNU6-356P		
RNU6-357P~withdrawn		
RNU6-358P		
RNU6-359P		
RNU6-360P		
RNU6-361P		
RNU6-362P		
RNU6-363P		
RNU6-364P		
RNU6-365P		
RNU6-366P		
RNU6-367P		
RNU6-368P		
RNU6-369P		
RNU6-370P		
RNU6-371P		
RNU6-372P~withdrawn		
RNU6-373P		
RNU6-374P		
RNU6-375P		
RNU6-376P		
RNU6-377P		
RNU6-378P		
RNU6-379P		
RNU6-380P		
RNU6-381P		
RNU6-382P		
RNU6-383P		
RNU6-384P		
RNU6-385P~withdrawn		
RNU6-386P		
RNU6-387P		
RNU6-388P		
RNU6-389P		
RNU6-390P		
RNU6-391P		
